Date;CO2_3;AirTemp_3;Patm_3;Rh_3
08/08/2018 06:02;0.386;20.851;782.41;20.041
08/08/2018 08:01;0.376;22.441;781.485;21.281
08/08/2018 09:01;0.39;21.821;781.013;21.47
08/08/2018 10:01;0.384;21.449;780.531;24.872
08/08/2018 11:01;0.385;21.311;780.135;22.914
08/08/2018 12:01;0.377;21.122;780.324;16.39
08/08/2018 13:01;0.372;20.587;780.984;8.548
08/08/2018 14:01;0.386;12.801;782.174;17.378
08/08/2018 15:01;0.404;8.773;782.693;21.945
08/08/2018 16:01;0.429;7.806;783.269;22.065
08/08/2018 17:01;0.429;7.533;783.704;22.301
08/08/2018 18:01;0.439;6.664;783.817;24.173
08/08/2018 19:01;0.45;4.867;784.072;29.844
08/08/2018 20:01;0.504;6.853;783.723;24.334
08/08/2018 21:01;0.454;6.088;783.723;25.048
08/08/2018 22:01;0.472;5.27;783.515;28.478
08/08/2018 23:01;0.469;3.479;783.402;35.163
09/08/2018 00:01;0.477;3.347;783.515;35.166
09/08/2018 01:01;0.462;3.325;783.496;32.957
09/08/2018 02:01;0.468;5.371;783.817;28.142
09/08/2018 03:01;0.453;5.88;783.968;27.304
09/08/2018 04:01;0.455;12.046;784.053;21.517
09/08/2018 05:01;0.416;17.015;784.525;10.552
09/08/2018 06:01;0.407;18.825;784.742;12.113
09/08/2018 07:01;0.391;21.578;784.374;17.205
09/08/2018 08:01;0.376;22.497;783.874;11.836
09/08/2018 09:01;0.402;23.02;783.298;14.527
09/08/2018 10:01;0.39;23.769;782.608;12.532
09/08/2018 11:01;0.391;22.812;782.618;15.421
09/08/2018 12:01;0.394;21.371;782.826;28.208
09/08/2018 13:01;0.392;20.288;783.411;33.828
09/08/2018 14:01;0.402;14.84;784.298;18.511
09/08/2018 15:01;0.412;7.649;785.205;25.655
09/08/2018 16:01;0.431;7.045;785.734;26.316
09/08/2018 17:01;0.447;8.562;786.036;25.275
09/08/2018 18:01;0.443;7.388;786.366;24.013
09/08/2018 19:01;0.462;7.954;786.432;34.741
09/08/2018 20:01;0.451;6.765;786.489;38.483
09/08/2018 21:01;0.472;6.387;786.291;41.438
09/08/2018 22:01;0.457;8.109;785.79;44.132
