################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CO2} CO2 OVPF
# TITLE: PCRN: "CO2 Plaine des Cafres" {RCSPCRN}
# FILENAME: RCSPCRN_all.txt
#
#
# CREATED: 09-Mar-2022 13:20:51 by sysop@pitondescalumets
# COPYRIGHT: 2022, (c) OVPF-IPGP
################################################################################
#
year month day hour minute second CO2_raw_mol CO2_corr_mol CO2_filter7_mol CO2_filter15_mol CO2_filter31_mol CO2_filterSG_1au CO2_filterSG_2au
2013 08 22 00 00 00 0.812498 0.375656 NaN NaN NaN NaN NaN
2013 08 23 00 00 00 0.752908 0.555515 NaN NaN NaN NaN NaN
2013 08 24 00 00 00 0.766264 0.661516 NaN NaN NaN NaN NaN
2013 08 25 00 00 00 0.749062 0.580758 0.534523 NaN NaN NaN NaN
2013 08 26 00 00 00 0.711469 0.465074 0.572446 NaN NaN NaN NaN
2013 08 27 00 00 00 0.772417 0.527206 0.596718 NaN NaN NaN NaN
2013 08 28 00 00 00 0.793836 0.575935 0.598890 NaN NaN NaN NaN
2013 08 29 00 00 00 0.801779 0.641115 0.594992 0.576591 NaN NaN NaN
2013 08 30 00 00 00 0.786306 0.725419 0.620332 0.584360 NaN NaN NaN
2013 08 31 00 00 00 0.801676 0.676720 0.630648 0.572238 NaN NaN NaN
2013 09 01 00 00 00 0.777437 0.553476 0.631907 0.561535 NaN NaN NaN
2013 09 02 00 00 00 0.783919 0.642455 0.609442 0.560609 NaN NaN NaN
2013 09 03 00 00 00 0.798734 0.599419 0.576122 0.561302 NaN NaN NaN
2013 09 04 00 00 00 0.766367 0.584749 0.532833 0.562987 NaN NaN NaN
2013 09 05 00 00 00 0.775112 0.483859 0.525331 0.571930 NaN NaN NaN
2013 09 06 00 00 00 0.748610 0.492178 0.514533 0.573435 0.595496 0.609272 0.072877
2013 09 07 00 00 00 0.757725 0.373693 0.496827 0.567173 0.605856 0.608665 0.072261
2013 09 08 00 00 00 0.781923 0.500962 0.492216 0.566690 0.608606 0.608082 0.073807
2013 09 09 00 00 00 0.764618 0.566870 0.524534 0.575330 0.606208 0.607521 0.074080
2013 09 10 00 00 00 0.781799 0.475475 0.549036 0.576436 0.603762 0.606984 0.074415
2013 09 11 00 00 00 0.763219 0.552478 0.585865 0.586138 0.609493 0.606470 0.074510
2013 09 12 00 00 00 0.730811 0.710084 0.609936 0.594810 0.612818 0.605978 0.071843
2013 09 13 00 00 00 0.765668 0.663693 0.626538 0.608456 0.620820 0.605506 0.068697
2013 09 14 00 00 00 0.769227 0.631491 0.652762 0.621289 0.623825 0.605056 0.062522
2013 09 15 00 00 00 0.756532 0.669464 0.680258 0.642829 0.620710 0.604627 0.058023
2013 09 16 00 00 00 0.772026 0.683079 0.680936 0.652151 0.619370 0.604222 0.055462
2013 09 17 00 00 00 0.782787 0.659042 0.684487 0.653504 0.621262 0.603844 0.054121
2013 09 18 00 00 00 0.767005 0.744952 0.692084 0.655468 0.620811 0.603493 0.053633
2013 09 19 00 00 00 0.745914 0.714835 0.695989 0.661484 0.620594 0.603171 0.052970
2013 09 20 00 00 00 0.762190 0.688543 0.689947 0.656166 0.621797 0.602881 0.053633
2013 09 21 00 00 00 0.756614 0.684670 0.679679 0.666851 0.627182 0.602625 0.054105
2013 09 22 00 00 00 0.757231 0.696805 0.645390 0.673704 0.633044 0.602407 0.055246
2013 09 23 00 00 00 0.764989 0.640785 0.635088 0.670996 0.641644 0.602230 0.056209
2013 09 24 00 00 00 0.739104 0.587163 0.626769 0.667803 0.648646 0.602097 0.055595
2013 09 25 00 00 00 0.723856 0.504929 0.646670 0.664676 0.654768 0.602011 0.052002
2013 09 26 00 00 00 0.678753 0.642724 0.652024 0.656910 0.665748 0.601972 0.049496
2013 09 27 00 00 00 0.653938 0.630311 0.650318 0.648768 0.674340 0.601982 0.048534
2013 09 28 00 00 00 0.660255 0.823976 0.657178 0.644334 0.679469 0.602043 0.048973
2013 09 29 00 00 00 0.573957 0.734281 0.672493 0.642076 0.684349 0.602154 0.046104
2013 09 30 00 00 00 0.610090 0.628841 0.670456 0.640549 0.688593 0.602316 0.044408
2013 10 01 00 00 00 0.685152 0.635182 0.665084 0.640516 0.690374 0.602530 0.043844
2013 10 02 00 00 00 0.698383 0.612140 0.636236 0.649240 0.687801 0.602795 0.042105
2013 10 03 00 00 00 0.730996 0.628463 0.624309 0.666021 0.687464 0.603110 0.041551
2013 10 04 00 00 00 0.740153 0.592707 0.630746 0.677563 0.682676 0.603472 0.040894
2013 10 05 00 00 00 0.748774 0.622036 0.631477 0.690132 0.679337 0.603880 0.041124
2013 10 06 00 00 00 0.751614 0.650793 0.646603 0.693138 0.678516 0.604331 0.039102
2013 10 07 00 00 00 0.745997 0.673902 0.664914 0.698518 0.678657 0.604822 0.038067
2013 10 08 00 00 00 0.749885 0.640295 0.696792 0.707466 0.677175 0.605351 0.036500
2013 10 09 00 00 00 0.725564 0.718024 0.724907 0.713431 0.678987 0.605915 0.033191
2013 10 10 00 00 00 0.616345 0.756642 0.756090 0.712844 0.684257 0.606511 0.032263
2013 10 11 00 00 00 0.667539 0.815849 0.776244 0.714186 0.693719 0.607138 0.031102
2013 10 12 00 00 00 0.697066 0.818843 0.793782 0.714440 0.695656 0.607795 0.027950
2013 10 13 00 00 00 0.708321 0.869074 0.794730 0.713727 0.699227 0.608483 0.028148
2013 10 14 00 00 00 0.640872 0.814983 0.772828 0.714547 0.697493 0.609202 0.030634
2013 10 15 00 00 00 0.680934 0.763060 0.748934 0.715555 0.702860 0.609951 0.036029
2013 10 16 00 00 00 0.703424 0.724660 0.717175 0.716260 0.710708 0.610727 0.038133
2013 10 17 00 00 00 0.682518 0.603325 0.680355 0.714855 0.715854 0.611527 0.035857
2013 10 18 00 00 00 0.729926 0.648593 0.658655 0.714447 0.723811 0.612348 0.031714
2013 10 19 00 00 00 0.710770 0.596526 0.648079 0.713274 0.725716 0.613188 0.024656
2013 10 20 00 00 00 0.716819 0.611336 0.637537 0.705536 0.727701 0.614046 0.018684
2013 10 21 00 00 00 0.662827 0.663085 0.650912 0.696999 0.729652 0.614917 0.013444
2013 10 22 00 00 00 0.687251 0.689024 0.665475 0.694015 0.732475 0.615803 0.009613
2013 10 23 00 00 00 0.670728 0.650867 0.694292 0.703188 0.735600 0.616702 0.008747
2013 10 24 00 00 00 0.623834 0.696952 0.707355 0.713019 0.740147 0.617613 0.008025
2013 10 25 00 00 00 0.671222 0.750533 0.718488 0.725778 0.742204 0.618534 0.008815
2013 10 26 00 00 00 0.648218 0.798247 0.730088 0.739793 0.741251 0.619464 0.013223
2013 10 27 00 00 00 0.540994 0.702774 0.765771 0.745858 0.740569 0.620402 0.016698
2013 10 28 00 00 00 0.619699 0.741021 0.790798 0.748718 0.739983 0.621348 0.017436
2013 10 29 00 00 00 0.696737 0.770222 0.797108 0.750014 0.743470 0.622300 0.020259
2013 10 30 00 00 00 0.700482 0.900651 0.805760 0.753300 0.747752 0.623258 0.025034
2013 10 31 00 00 00 0.634534 0.872136 0.803579 0.761295 0.752544 0.624221 0.028292
2013 11 01 00 00 00 0.573731 0.794708 0.791182 0.766915 0.753965 0.625189 0.027769
2013 11 02 00 00 00 0.528998 0.858809 0.778654 0.768998 0.757325 0.626162 0.029246
2013 11 03 00 00 00 0.471199 0.687510 0.755462 0.764256 0.760661 0.627141 0.030697
2013 11 04 00 00 00 0.514059 0.654237 0.740984 0.770384 0.767667 0.628127 0.032372
2013 11 05 00 00 00 0.545377 0.682524 0.739061 0.774361 0.773855 0.629121 0.034964
2013 11 06 00 00 00 0.592023 0.738307 0.728058 0.788157 0.777265 0.630125 0.037166
2013 11 07 00 00 00 0.678547 0.770792 0.733715 0.791295 0.781149 0.631139 0.038304
2013 11 08 00 00 00 0.687210 0.781250 0.753781 0.793927 0.785340 0.632166 0.038287
2013 11 09 00 00 00 0.710111 0.781786 0.770661 0.792195 0.791486 0.633205 0.043217
2013 11 10 00 00 00 0.713506 0.727106 0.804781 0.782105 0.797306 0.634258 0.047809
2013 11 11 00 00 00 0.736305 0.794705 0.830058 0.786406 0.802197 0.635325 0.051793
2013 11 12 00 00 00 0.681613 0.800677 0.848681 0.797037 0.808060 0.636404 0.058132
2013 11 13 00 00 00 0.758178 0.977149 0.846815 0.805080 0.810748 0.637494 0.059836
2013 11 14 00 00 00 0.752046 0.947732 0.844010 0.807112 0.816029 0.638593 0.061287
2013 11 15 00 00 00 0.745955 0.911610 0.837911 0.809689 0.819155 0.639702 0.062086
2013 11 16 00 00 00 0.652230 0.768724 0.839773 0.809658 0.819578 0.640820 0.062141
2013 11 17 00 00 00 0.694473 0.707469 0.814919 0.816704 0.819938 0.641949 0.063659
2013 11 18 00 00 00 0.742313 0.752016 0.789355 0.830294 0.819153 0.643089 0.070833
2013 11 19 00 00 00 0.731552 0.813710 0.774760 0.840638 0.822474 0.644239 0.080385
2013 11 20 00 00 00 0.767581 0.803171 0.776483 0.846227 0.825838 0.645401 0.087986
2013 11 21 00 00 00 0.703177 0.768783 0.802199 0.836041 0.832146 0.646574 0.094381
2013 11 22 00 00 00 0.695378 0.809444 0.827761 0.835121 0.841313 0.647757 0.100079
2013 11 23 00 00 00 0.643917 0.780784 0.847212 0.840851 0.848561 0.648949 0.102015
2013 11 24 00 00 00 0.751285 0.887483 0.858833 0.848618 0.852680 0.650148 0.101995
2013 11 25 00 00 00 0.789125 0.930955 0.866770 0.855179 0.857829 0.651352 0.103201
2013 11 26 00 00 00 0.748219 0.949861 0.884555 0.860676 0.863058 0.652561 0.104210
2013 11 27 00 00 00 0.714988 0.884521 0.915523 0.859126 0.864886 0.653773 0.104413
2013 11 28 00 00 00 0.650913 0.824346 0.915202 0.856150 0.866390 0.654989 0.105719
2013 11 29 00 00 00 0.721037 0.933933 0.897335 0.863435 0.863066 0.656205 0.104135
2013 11 30 00 00 00 0.705420 0.997564 0.880850 0.877638 0.859587 0.657422 0.100144
2013 12 01 00 00 00 0.617229 0.885237 0.867413 0.891951 0.855584 0.658638 0.094400
2013 12 02 00 00 00 0.602600 0.805883 0.858010 0.893383 0.853067 0.659853 0.089444
2013 12 03 00 00 00 0.734000 0.834467 0.850028 0.894079 0.855193 0.661066 0.085041
2013 12 04 00 00 00 0.750626 0.790465 0.853590 0.890034 0.852887 0.662276 0.077073
2013 12 05 00 00 00 0.733589 0.758522 0.869337 0.887825 0.852197 0.663481 0.071639
2013 12 06 00 00 00 0.727971 0.878061 0.884064 0.889355 0.847137 0.664682 0.064467
2013 12 07 00 00 00 0.753260 1.022494 0.899339 0.885368 0.846658 0.665876 0.067018
2013 12 08 00 00 00 0.723260 0.995467 0.913442 0.874854 0.846225 0.667063 0.069552
2013 12 09 00 00 00 0.671325 0.908969 0.926709 0.868341 0.846212 0.668243 0.073560
2013 12 10 00 00 00 0.732169 0.941395 0.922313 0.860662 0.844523 0.669416 0.072519
2013 12 11 00 00 00 0.729350 0.889188 0.901118 0.856588 0.841540 0.670580 0.071340
2013 12 12 00 00 00 0.726984 0.851390 0.878888 0.849260 0.841178 0.671735 0.073075
2013 12 13 00 00 00 0.706366 0.847286 0.861541 0.851513 0.840935 0.672881 0.071778
2013 12 14 00 00 00 0.693095 0.874131 0.825727 0.836064 0.842272 0.674016 0.072965
2013 12 15 00 00 00 0.612127 0.839858 0.809180 0.818159 0.841372 0.675140 0.071687
2013 12 16 00 00 00 0.551467 0.787538 0.784773 0.804863 0.838687 0.676252 0.070504
2013 12 17 00 00 00 0.481919 0.690697 0.776920 0.796290 0.838517 0.677352 0.075102
2013 12 18 00 00 00 0.540994 0.773361 0.744376 0.789205 0.841757 0.678439 0.078279
2013 12 19 00 00 00 0.478051 0.680543 0.732099 0.785824 0.839227 0.679513 0.074202
2013 12 20 00 00 00 0.545500 0.792311 0.733312 0.791640 0.838707 0.680571 0.065396
2013 12 21 00 00 00 0.527372 0.646325 0.746124 0.793620 0.837000 0.681613 0.053924
2013 12 22 00 00 00 0.764042 0.753921 0.754946 0.793065 0.827762 0.682636 0.042530
2013 12 23 00 00 00 0.756449 0.796027 0.777509 0.797477 0.814791 0.683641 0.029726
2013 12 24 00 00 00 0.751408 0.780382 0.798412 0.805929 0.803651 0.684626 0.019933
2013 12 25 00 00 00 0.702951 0.835111 0.831363 0.818548 0.794595 0.685590 0.012357
2013 12 26 00 00 00 0.737231 0.838487 0.847345 0.827412 0.784709 0.686535 0.001309
2013 12 27 00 00 00 0.787334 0.938628 0.863062 0.832445 0.775183 0.687458 -0.011678
2013 12 28 00 00 00 0.660790 0.876988 0.882196 0.831246 0.769169 0.688358 -0.021656
2013 12 29 00 00 00 0.674370 0.865794 0.888606 0.835199 0.762055 0.689235 -0.030845
2013 12 30 00 00 00 0.668856 0.906047 0.898296 0.824383 0.748720 0.690087 -0.041099
2013 12 31 00 00 00 0.657065 0.914316 0.872212 0.812675 0.737914 0.690913 -0.048569
2014 01 01 00 00 00 0.748980 0.879980 0.857547 0.803990 0.733565 0.691711 -0.052029
2014 01 02 00 00 00 0.691298 0.906322 0.834664 0.790198 0.731324 0.692482 -0.057324
2014 01 03 00 00 00 0.598844 0.756034 0.789754 0.776628 0.726757 0.693223 -0.064760
2014 01 04 00 00 00 0.470026 0.774333 0.747767 0.753645 0.721780 0.693934 -0.074075
