Starting day,Ending day,Event type
1998-03-09,1998-09-15,Eruption
1999-07-19,1999-07-31,Eruption
1999-09-28,1999-10-23,Eruption
2000-02-13,2000-03-04,Eruption
2000-06-23,2000-07-30,Eruption
2000-10-06,2000-10-06,Intrusion
2000-10-12,2000-11-13,Eruption
2001-03-27,2001-04-04,Eruption
2001-06-11,2001-07-07,Eruption
2002-01-05,2002-01-16,Eruption
2002-11-16,2002-12-05,Eruption
2002-12-23,2002-12-23,Collapse
2003-05-30,2003-05-30,Eruption
2003-06-04,2003-06-06,Eruption
2003-06-12,2003-06-15,Eruption
2003-06-21,2003-07-07,Eruption
2003-08-22,2003-08-27,Eruption
2003-09-30,2003-10-01,Eruption
2003-11-06,2003-11-06,Intrusion
2003-12-07,2003-12-25,Eruption
2004-01-08,2004-01-10,Eruption
2004-05-02,2004-05-18,Eruption
2004-08-12,2004-10-14,Eruption
2005-02-17,2005-02-26,Eruption
2005-10-04,2005-10-17,Eruption
2005-11-29,2005-11-29,Eruption
2005-12-26,2006-01-18,Eruption
2006-07-20,2006-08-14,Eruption
2006-08-30,2006-12-31,Eruption
2007-02-18,2007-02-19,Eruption
2007-03-30,2007-05-01,Eruption
2008-08-04,2008-08-04,Intrusion
2008-08-15,2008-08-15,Intrusion
2008-08-31,2008-08-31,Intrusion
2008-09-07,2008-09-07,Intrusion
2008-09-08,2008-09-08,Intrusion
2008-09-12,2008-09-12,Intrusion
2008-09-15,2008-09-15,Intrusion
2008-09-21,2008-10-02,Eruption
2008-10-20,2008-10-20,Intrusion
2008-10-31,2008-10-31,Intrusion
2008-11-06,2008-11-06,Intrusion
2008-11-20,2008-11-20,Intrusion
2008-11-27,2008-11-28,Eruption
2008-12-14,2009-02-04,Eruption
2009-10-07,2009-10-07,Intrusion
2009-10-14,2009-10-14,Intrusion
2009-10-18,2009-10-18,Intrusion
2009-10-30,2009-10-30,Intrusion
2009-11-05,2009-11-06,Eruption
2009-12-14,2009-12-15,Eruption
2009-12-29,2009-12-29,Intrusion
2010-01-02,2010-01-12,Eruption
2010-09-19,2010-09-19,Intrusion
2010-09-23,2010-09-23,Intrusion
2010-10-14,2010-10-31,Eruption
2010-12-09,2010-12-10,Eruption
2011-02-02,2011-02-02,Intrusion
2014-06-20,2014-06-21,Eruption
2015-02-04,2015-02-15,Eruption
2015-05-17,2015-05-30,Eruption
2015-07-31,2015-08-02,Eruption
2015-08-24,2015-10-31,Eruption
2016-05-26,2016-05-27,Eruption
2016-09-11,2016-09-18,Eruption
2017-01-31,2017-02-27,Eruption
2017-05-17,2017-05-17,Intrusion
2017-07-13,2017-08-27,Eruption
2018-04-03,2018-04-04,Eruption
2018-04-27,2018-06-01,Eruption
2018-07-12,2018-07-13,Eruption
2018-09-15,2018-11-01,Eruption
2019-02-16,2019-02-16,Intrusion
2019-02-18,2019-03-10,Eruption
2019-06-11,2019-06-13,Eruption
2019-07-29,2019-07-30,Eruption
2019-08-11,2019-08-15,Eruption
2019-10-21,2019-10-21,Intrusion
2019-10-25,2019-10-27,Eruption
2020-02-10,2020-02-16,Eruption
2020-04-02,2020-04-06,Eruption
2020-07-03,2020-07-03,Intrusion
2020-09-28,2020-09-28,Intrusion
2020-12-04,2020-12-04,Intrusion
2020-12-07,2020-12-08,Eruption
2021-04-09,2021-05-23,Eruption
2021-10-18,2021-10-18,Intrusion
2021-12-21,2022-01-16,Eruption
2022-09-07,2022-09-07,Intrusion
2022-09-19,2022-10-07,Eruption
2023-04-21,2023-04-21,Intrusion
2023-07-02,2023-08-10,Eruption
