################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. FJAG
# FILENAME: BASELINES_FJAG_all.txt
#
#
# CREATED: 10-Apr-2020 08:42:40 by sysop@pitondescalumets
# COPYRIGHT: 2020, (c) OVPF-IPGP
################################################################################
#
year month day hour minute second FJAG-FERG_(cm) FJAG-FOAG_(cm)
2008 06 20 11 59 00 142034.745075 NaN
2008 06 20 11 59 00 142034.745075 NaN
2008 06 21 11 59 00 142034.798999 NaN
2008 06 22 11 59 00 142034.928180 NaN
2008 06 23 11 59 00 142035.080238 NaN
2008 06 24 11 59 00 142035.043199 NaN
2008 06 25 11 59 00 142034.814867 NaN
2008 06 26 11 59 00 142034.837769 NaN
2008 06 27 11 59 00 142034.769510 NaN
2008 06 28 11 59 00 142034.759501 NaN
2008 06 29 11 59 00 142034.712929 NaN
2008 06 30 11 59 00 142034.668284 NaN
2008 07 01 11 59 00 142034.425620 NaN
2008 07 02 11 59 00 142034.668244 NaN
2008 07 03 11 59 00 142034.735411 NaN
2008 07 04 11 59 00 142034.615185 NaN
2008 07 05 11 59 00 142034.810761 NaN
2008 07 06 11 59 00 142034.612066 NaN
2008 07 07 11 59 00 142034.706973 NaN
2008 07 08 11 59 00 142034.809002 NaN
2008 07 09 11 59 00 142034.667351 NaN
2008 07 10 11 59 00 142034.691527 NaN
2008 07 11 11 59 00 142034.703966 NaN
2008 07 12 11 59 00 142034.898490 NaN
2008 07 13 11 59 00 142034.838613 NaN
2008 07 19 11 59 00 142034.916236 NaN
2008 07 20 11 59 00 142034.740725 NaN
2008 07 21 11 59 00 142034.654880 NaN
2008 07 22 11 59 00 142035.112348 NaN
2008 07 23 11 59 00 142035.196314 NaN
2008 07 24 11 59 00 142035.121532 NaN
2008 07 25 11 59 00 142035.010852 NaN
2008 07 26 11 59 00 142035.031430 NaN
2008 07 27 11 59 00 142035.358153 NaN
2008 07 28 11 59 00 142035.389378 NaN
2008 07 29 11 59 00 142035.194140 NaN
2008 07 30 11 59 00 142035.090215 NaN
2008 07 31 11 59 00 142035.126759 NaN
2008 08 01 11 59 00 142035.592279 NaN
2008 08 02 11 59 00 142035.587096 NaN
2008 08 03 11 59 00 142035.531442 NaN
2008 08 04 11 59 00 142035.363583 NaN
2008 08 05 11 59 00 142035.480834 NaN
2008 08 06 11 59 00 142035.505616 NaN
2008 08 07 11 59 00 142035.448279 NaN
2008 08 08 11 59 00 142035.654053 NaN
2008 08 09 11 59 00 142035.595169 NaN
2008 08 10 11 59 00 142035.478545 NaN
2008 08 11 11 59 00 142035.380753 NaN
2008 08 12 11 59 00 142035.748305 NaN
2008 08 13 11 59 00 142035.720847 NaN
2008 08 19 11 59 00 142036.222465 NaN
2008 08 20 11 59 00 142036.199240 NaN
2008 08 21 11 59 00 142036.344989 NaN
2008 08 22 11 59 00 142036.323259 NaN
2008 08 23 11 59 00 142036.372102 NaN
2008 08 24 11 59 00 142036.791667 NaN
2008 08 25 11 59 00 142036.793379 NaN
2008 08 26 11 59 00 142036.531009 NaN
2008 08 27 11 59 00 142036.674776 NaN
2008 08 28 11 59 00 142036.720906 NaN
2008 08 29 11 59 00 142036.654395 NaN
2008 08 30 11 59 00 142036.580438 NaN
2008 08 31 11 59 00 142036.755736 NaN
2008 09 01 11 59 00 142036.948816 NaN
2008 09 02 11 59 00 142036.710376 NaN
2008 09 03 11 59 00 142036.813528 NaN
2008 09 04 11 59 00 142037.039467 NaN
2008 09 05 11 59 00 142036.830070 NaN
2008 09 06 11 59 00 142036.825018 NaN
2008 09 07 11 59 00 142037.137229 NaN
2008 09 08 11 59 00 142037.246219 NaN
2008 09 09 11 59 00 142037.353469 NaN
2008 09 10 11 59 00 142037.323581 NaN
2008 09 11 11 59 00 142037.264595 NaN
2008 09 11 11 59 00 142037.264595 NaN
2008 09 12 11 59 00 142037.418775 NaN
2008 09 13 11 59 00 142037.639065 NaN
2008 09 19 11 59 00 142037.973939 NaN
2008 09 20 11 59 00 142037.776974 NaN
2008 09 21 11 59 00 142037.639315 NaN
2008 09 22 11 59 00 142037.626041 NaN
2008 09 23 11 59 00 142037.718866 NaN
2008 09 24 11 59 00 142037.871003 NaN
2008 09 25 11 59 00 142037.983416 NaN
2008 09 26 11 59 00 142037.881630 NaN
2008 09 27 11 59 00 142037.993842 NaN
2008 09 28 11 59 00 142037.617892 NaN
2008 09 29 11 59 00 142037.695182 NaN
2008 09 30 11 59 00 142037.624366 NaN
2008 10 01 11 59 00 142037.369371 NaN
2008 10 02 11 59 00 142037.490173 NaN
2008 10 03 11 59 00 142037.695544 NaN
2008 10 04 11 59 00 142037.740604 NaN
2008 10 05 11 59 00 142037.668557 NaN
2008 10 06 11 59 00 142037.845345 NaN
2008 10 07 11 59 00 142037.940922 NaN
2008 10 08 11 59 00 142037.798387 NaN
2008 10 09 11 59 00 142037.860041 NaN
2008 10 10 11 59 00 142037.596042 NaN
2008 10 11 11 59 00 142037.989517 NaN
2008 10 12 11 59 00 142037.967866 NaN
2008 10 12 11 59 00 142037.967866 NaN
2008 10 13 11 59 00 142038.070626 NaN
2008 10 19 11 59 00 142038.086357 NaN
2008 10 20 11 59 00 142037.844523 NaN
2008 10 21 11 59 00 142038.093429 NaN
2008 10 22 11 59 00 142037.960658 NaN
2008 10 23 11 59 00 142038.192973 NaN
2008 10 24 11 59 00 142038.191897 NaN
2008 10 25 11 59 00 142038.313054 NaN
2008 10 26 11 59 00 142038.125431 NaN
2008 10 27 11 59 00 142038.220752 NaN
2008 10 28 11 59 00 142038.266547 NaN
2008 10 29 11 59 00 142038.235155 NaN
2008 10 30 11 59 00 142038.229972 NaN
2008 11 01 11 59 00 142038.418331 NaN
2008 11 02 11 59 00 142038.347706 NaN
