################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. FOAG
# FILENAME: BASELINES_FOAG_all.txt
#
#
# CREATED: 11-Jan-2022 09:20:47 by sysop@pitondescalumets
# COPYRIGHT: 2022, (c) OVPF-IPGP
################################################################################
#
year month day hour minute second FOAG-ENOG_(cm) FOAG-FJAG_(cm)
2010 09 21 11 59 00 NaN 399548.616912
2010 09 22 11 59 00 NaN 399548.607794
2010 09 23 11 59 00 NaN 399548.713085
2010 09 24 11 59 00 NaN 399549.212161
2010 09 25 11 59 00 NaN 399549.370892
2010 09 26 11 59 00 NaN 399549.452938
2010 09 27 11 59 00 NaN 399549.468270
2010 09 28 11 59 00 NaN 399549.698082
2010 09 29 11 59 00 NaN 399549.760517
2010 09 30 11 59 00 NaN 399549.896625
2010 10 01 11 59 00 NaN 399549.968189
2010 10 02 11 59 00 NaN 399549.918723
2010 10 03 11 59 00 NaN 399549.928070
2010 10 04 11 59 00 NaN 399550.009541
2010 10 05 11 59 00 NaN 399549.997233
2010 10 06 11 59 00 NaN 399550.999505
2010 10 07 11 59 00 NaN 399550.384209
2010 10 08 11 59 00 NaN 399550.354256
2010 10 09 11 59 00 NaN 399550.500082
2010 10 10 11 59 00 NaN 399550.515100
2010 10 11 11 59 00 NaN 399550.589253
2010 10 12 11 59 00 NaN 399550.632028
2010 10 13 11 59 00 NaN 399550.842855
2010 10 21 11 59 00 NaN 399533.958745
2010 10 22 11 59 00 NaN 399533.758384
2010 10 23 11 59 00 NaN 399533.914236
2010 10 24 11 59 00 NaN 399533.719899
2010 10 25 11 59 00 NaN 399533.368409
2010 10 26 11 59 00 NaN 399533.548014
2010 10 27 11 59 00 NaN 399533.489374
2010 10 28 11 59 00 NaN 399533.803071
2010 10 29 11 59 00 NaN 399533.748739
2010 10 30 11 59 00 NaN 399533.834132
2010 10 31 11 59 00 NaN 399533.793472
2010 11 01 11 59 00 NaN 399534.068442
