################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. BOMG
# FILENAME: BASELINES_BOMG_all.txt
#
#
# CREATED: 10-Jan-2024 13:34:35 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS BOMG-BORG_(cm) BOMG-DERG_(cm) BOMG-DSRG_(cm) BOMG-SNEG_(cm)
2009 10 12 11 59 00 88047.173412 107949.873354 111987.579975 90429.156447
2009 10 13 11 59 00 88047.334728 107950.044833 111987.720974 90429.143044
2009 10 21 11 59 00 88048.670552 107954.943858 112005.985114 90433.703526
2009 10 22 11 59 00 88048.589296 107955.159146 112006.027382 90433.893310
2009 10 23 11 59 00 88048.743872 107955.418737 112005.958825 90434.110924
2009 10 24 11 59 00 88048.762864 107955.768857 112005.838342 90434.450288
2009 10 25 11 59 00 88048.436819 107956.395063 112005.621109 90435.138483
2009 10 26 11 59 00 88048.961430 107954.758691 112005.456343 90433.238092
2009 10 27 11 59 00 88048.565722 107955.511044 112005.692076 90433.904169
2009 10 28 11 59 00 88048.443376 107955.732623 112005.768705 90433.793558
2009 10 29 11 59 00 88048.701820 107955.943807 112005.792908 90433.991325
2009 10 30 11 59 00 88049.018763 107955.819030 112006.749151 90434.741429
2009 10 31 11 59 00 88049.060227 107956.436049 112006.709294 90435.072633
2009 11 01 11 59 00 88049.102686 107956.928834 112006.868179 90434.885329
2009 11 02 11 59 00 88049.001562 107956.535037 112007.020098 90434.928171
2009 11 03 11 59 00 88049.032017 107956.065591 112006.436663 90434.820658
2009 11 04 11 59 00 88049.036127 107956.420071 112006.386981 90435.047443
2009 11 05 11 59 00 88049.411547 107956.999099 112008.346725 90434.171496
2009 11 06 11 59 00 88049.844025 107960.794256 112019.249868 90437.097759
2009 11 07 11 59 00 88049.779362 107960.704330 112019.093162 90436.958217
2009 11 08 11 59 00 88049.895393 107959.986762 112018.683787 90437.222482
2009 11 09 11 59 00 88049.895821 107959.216069 112018.612007 90437.197222
2009 11 10 11 59 00 88050.100686 107959.081850 112018.921624 90437.477622
2009 11 11 11 59 00 88049.939895 107959.102418 112018.565791 90437.508511
2009 11 12 11 59 00 88049.942645 107959.091281 112018.477543 90437.511762
2009 11 13 11 59 00 88049.932500 107958.865627 112018.481233 90437.582365
2009 11 21 11 59 00 88049.957616 107959.323780 112018.213004 90437.935999
2009 11 22 11 59 00 88049.935480 107959.326839 112018.134741 90437.961115
2009 11 23 11 59 00 88049.936939 107959.560811 112018.126893 90438.224654
2009 11 24 11 59 00 88050.061284 107959.503593 112018.332418 90438.072653
2009 11 25 11 59 00 88050.191635 107959.509733 112018.530603 90437.993990
2009 11 26 11 59 00 88049.870248 107959.370815 112017.969203 90437.869436
2009 11 27 11 59 00 88049.912063 107959.492080 112018.046949 90437.877167
2009 11 28 11 59 00 88049.880115 107959.524904 112017.992593 90437.956598
2009 11 29 11 59 00 88049.992786 107959.667209 112018.054706 90438.145955
2009 11 30 11 59 00 88049.908795 107959.573108 112017.812104 90438.082767
2009 12 04 11 59 00 88049.929801 107959.663655 112017.571664 90438.160977
