################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. PRAG
# FILENAME: BASELINES_PRAG_all.txt
#
#
# CREATED: 22-Apr-2024 02:01:50 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS PRAG-GITG_(cm)
2013 01 01 11 59 00 818626.061815
2013 01 02 11 59 00 818625.664152
2013 01 03 11 59 00 818624.300526
2013 01 04 11 59 00 818625.328027
2013 01 05 11 59 00 818625.462195
2013 01 06 11 59 00 818625.212906
2013 01 07 11 59 00 818625.401698
2013 01 08 11 59 00 818626.002901
2013 01 09 11 59 00 818625.395327
2013 01 10 11 59 00 818625.795629
2013 01 11 11 59 00 818625.300379
2013 01 12 11 59 00 818625.784609
2013 01 14 11 59 00 818625.609248
2013 01 21 11 59 00 818625.122714
2013 01 22 11 59 00 818625.244179
2013 01 23 11 59 00 818625.502140
2013 01 24 11 59 00 818625.432226
2013 01 25 11 59 00 818625.400740
2013 01 26 11 59 00 818625.274044
2013 01 27 11 59 00 818625.230761
2013 01 28 11 59 00 818625.494113
2013 01 29 11 59 00 818625.431605
2013 01 30 11 59 00 818625.324883
2013 01 31 11 59 00 818625.274839
2013 02 04 11 59 00 818624.925641
2013 02 05 11 59 00 818625.465451
2013 02 06 11 59 00 818624.996412
2013 02 07 11 59 00 818625.125638
2013 02 08 11 59 00 818625.431525
2013 02 09 11 59 00 818625.295318
2013 02 10 11 59 00 818625.224198
2013 02 11 11 59 00 818625.458808
2013 02 12 11 59 00 818625.861772
2013 02 13 11 59 00 818625.782298
2013 02 14 11 59 00 818625.935601
2013 02 21 11 59 00 818625.208100
2013 02 22 11 59 00 818625.092448
2013 02 23 11 59 00 818625.383896
2013 02 24 11 59 00 818624.829981
2013 02 25 11 59 00 818625.075622
2013 02 26 11 59 00 818625.748268
2013 02 27 11 59 00 818625.527059
2013 02 28 11 59 00 818625.834134
2013 03 01 11 59 00 818625.580948
2013 03 02 11 59 00 818625.604324
2013 03 03 11 59 00 818625.273309
2013 03 04 11 59 00 818625.683561
2013 03 05 11 59 00 818625.290481
2013 03 06 11 59 00 818625.742657
2013 03 08 11 59 00 818625.927470
2013 03 09 11 59 00 818625.541021
2013 03 10 11 59 00 818625.303766
2013 03 11 11 59 00 818625.465001
2013 03 12 11 59 00 818625.400363
2013 03 13 11 59 00 818625.329282
2013 03 14 11 59 00 818625.399283
2013 03 21 11 59 00 818625.292293
2013 03 22 11 59 00 818625.269325
2013 03 23 11 59 00 818625.249455
2013 03 24 11 59 00 818625.578934
2013 03 25 11 59 00 818625.431825
2013 03 26 11 59 00 818625.578592
2013 03 27 11 59 00 818625.489039
2013 03 28 11 59 00 818625.565714
2013 03 29 11 59 00 818626.377987
2013 03 30 11 59 00 818625.864738
2013 03 31 11 59 00 818625.923643
2013 04 01 11 59 00 818625.589679
2013 04 02 11 59 00 818625.293990
2013 04 03 11 59 00 818625.317854
2013 04 04 11 59 00 818625.857012
2013 04 05 11 59 00 818625.723903
2013 04 06 11 59 00 818625.882607
2013 04 07 11 59 00 818625.454517
2013 04 08 11 59 00 818625.847281
2013 04 09 11 59 00 818626.235646
2013 04 10 11 59 00 818626.349443
2013 04 11 11 59 00 818625.432811
2013 04 12 11 59 00 818625.742612
2013 04 13 11 59 00 818625.710422
2013 04 14 11 59 00 818625.962071
2013 04 21 11 59 00 818625.845197
2013 04 22 11 59 00 818625.830179
2013 04 23 11 59 00 818625.365361
2013 04 24 11 59 00 818625.348705
2013 04 25 11 59 00 818625.396802
2013 04 26 11 59 00 818625.327713
2013 04 27 11 59 00 818625.510250
2013 04 28 11 59 00 818625.767831
2013 04 29 11 59 00 818625.482420
2013 04 30 11 59 00 818625.241788
2013 05 01 11 59 00 818625.552665
2013 05 02 11 59 00 818625.582768
2013 05 04 11 59 00 818625.391187
2013 05 05 11 59 00 818625.829436
2013 05 06 11 59 00 818625.280652
2013 05 07 11 59 00 818625.537567
2013 05 08 11 59 00 818625.381651
2013 05 09 11 59 00 818625.274905
2013 05 10 11 59 00 818625.352643
2013 05 11 11 59 00 818625.359042
2013 05 12 11 59 00 818625.430887
2013 05 13 11 59 00 818625.840739
2013 05 14 11 59 00 818625.785902
2013 05 21 11 59 00 818625.288536
2013 05 22 11 59 00 818625.328139
2013 05 23 11 59 00 818625.399388
2013 05 24 11 59 00 818625.399597
2013 05 25 11 59 00 818625.495061
2013 05 26 11 59 00 818625.307286
2013 05 27 11 59 00 818625.310238
2013 05 28 11 59 00 818625.209640
2013 05 29 11 59 00 818625.300856
