################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.GIPSYX} GNSS GIPSYX PdF OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SNEG_all.txt
#
#
# CREATED: 01-Feb-2024 13:08:01 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS SNEG-BORG_(cm)_gipsyx SNEG-DERG_(cm)_gipsyx SNEG-DSRG_(cm)_gipsyx
2006 04 18 23 55 00 NaN NaN NaN
2006 04 19 23 55 00 NaN NaN NaN
2006 04 20 23 55 00 NaN NaN NaN
2006 04 21 23 55 00 NaN NaN NaN
2006 04 22 23 55 00 NaN NaN NaN
2006 04 23 23 55 00 NaN NaN NaN
2006 04 24 23 55 00 NaN NaN NaN
2006 04 25 23 55 00 NaN NaN NaN
2006 04 26 23 55 00 NaN NaN NaN
2006 04 27 23 55 00 NaN NaN NaN
2006 04 28 23 55 00 NaN NaN NaN
2006 04 29 23 55 00 NaN NaN NaN
2006 04 30 23 55 00 NaN NaN NaN
2006 05 01 23 55 00 NaN NaN NaN
2006 05 02 23 55 00 NaN NaN NaN
2006 05 03 23 55 00 NaN NaN NaN
2006 05 04 23 55 00 NaN NaN NaN
2006 05 05 23 55 00 NaN NaN NaN
2006 05 06 23 55 00 NaN NaN NaN
2006 05 07 23 55 00 NaN NaN NaN
2006 05 08 23 55 00 NaN NaN NaN
2006 05 11 23 55 00 NaN NaN NaN
2006 05 17 23 55 00 NaN NaN NaN
2006 05 18 23 55 00 NaN NaN NaN
2006 05 19 23 55 00 NaN NaN NaN
2006 05 20 23 55 00 NaN NaN NaN
2006 05 21 23 55 00 NaN NaN NaN
2006 05 22 23 55 00 NaN NaN NaN
2006 05 23 23 55 00 NaN NaN NaN
2006 05 24 23 55 00 NaN NaN NaN
2006 05 25 23 55 00 NaN NaN NaN
2006 05 26 23 55 00 NaN NaN NaN
2006 05 27 23 55 00 NaN NaN NaN
2006 05 28 23 55 00 NaN NaN NaN
2006 05 29 23 55 00 NaN NaN NaN
2006 05 30 23 55 00 NaN NaN NaN
2006 05 31 23 55 00 NaN NaN NaN
2006 06 01 23 55 00 NaN NaN NaN
2006 06 02 23 55 00 NaN NaN NaN
2006 06 03 23 55 00 NaN NaN NaN
2006 06 04 23 55 00 NaN NaN NaN
2006 06 05 23 55 00 NaN NaN NaN
2006 06 06 23 55 00 NaN NaN NaN
2006 06 07 23 55 00 NaN NaN NaN
2006 06 08 23 55 00 NaN NaN NaN
2006 06 09 23 55 00 NaN NaN NaN
2006 06 10 23 55 00 NaN NaN NaN
2006 06 11 23 55 00 NaN NaN NaN
2006 06 12 23 55 00 NaN NaN NaN
2006 06 13 23 55 00 NaN NaN NaN
2006 06 14 23 55 00 NaN NaN NaN
2006 06 15 23 55 00 NaN NaN NaN
2006 06 16 23 55 00 NaN NaN NaN
2006 06 17 23 55 00 NaN NaN NaN
2006 06 18 23 55 00 NaN NaN NaN
2006 06 19 23 55 00 NaN NaN NaN
2006 06 20 23 55 00 NaN NaN NaN
2006 06 21 23 55 00 NaN NaN NaN
2006 06 22 23 55 00 NaN NaN NaN
2006 06 23 23 55 00 NaN NaN NaN
2006 06 24 23 55 00 NaN NaN NaN
2006 06 25 23 55 00 NaN NaN NaN
2006 06 26 23 55 00 NaN NaN NaN
2006 06 27 23 55 00 NaN NaN NaN
2006 06 28 23 55 00 NaN NaN NaN
2006 06 29 23 55 00 NaN NaN NaN
2006 06 30 23 55 00 NaN NaN NaN
2006 07 01 23 55 00 NaN NaN NaN
2006 07 02 23 55 00 NaN NaN NaN
2006 07 03 23 55 00 NaN NaN NaN
2006 07 04 23 55 00 NaN NaN NaN
2006 07 05 23 55 00 NaN NaN NaN
2006 07 06 23 55 00 NaN NaN NaN
2006 07 07 23 55 00 NaN NaN NaN
2006 07 08 23 55 00 NaN NaN NaN
2006 07 09 23 55 00 NaN NaN NaN
2006 07 10 23 55 00 NaN NaN NaN
2006 07 11 23 55 00 NaN NaN NaN
2006 07 12 23 55 00 NaN NaN NaN
2006 07 13 23 55 00 NaN NaN NaN
2006 07 14 23 55 00 NaN NaN NaN
2006 07 15 23 55 00 NaN NaN NaN
2006 07 16 23 55 00 NaN NaN NaN
2006 07 17 23 55 00 NaN NaN NaN
2006 07 18 23 55 00 NaN NaN NaN
2006 07 19 23 55 00 NaN NaN NaN
2006 07 20 23 55 00 NaN NaN NaN
2006 07 21 23 55 00 NaN NaN NaN
2006 07 22 23 55 00 NaN NaN NaN
2006 07 23 23 55 00 NaN NaN NaN
2006 07 24 23 55 00 NaN NaN NaN
2006 07 28 23 55 00 NaN NaN NaN
2006 07 29 23 55 00 NaN NaN NaN
2006 07 30 23 55 00 NaN NaN NaN
2006 07 31 23 55 00 NaN NaN NaN
2006 08 01 23 55 00 NaN NaN NaN
2006 08 02 23 55 00 NaN NaN NaN
2006 08 03 23 55 00 NaN NaN NaN
2006 08 04 23 55 00 NaN NaN NaN
2006 08 05 23 55 00 NaN NaN NaN
2006 08 06 23 55 00 NaN NaN NaN
2006 08 07 23 55 00 NaN NaN NaN
2006 08 08 23 55 00 NaN NaN NaN
2006 08 09 23 55 00 NaN NaN NaN
2006 08 10 23 55 00 NaN NaN NaN
2006 08 11 23 55 00 NaN NaN NaN
2006 08 12 23 55 00 NaN NaN NaN
2006 08 13 23 55 00 NaN NaN NaN
2006 08 14 23 55 00 NaN NaN NaN
2006 08 15 23 55 00 NaN NaN NaN
2006 08 16 23 55 00 NaN NaN NaN
2006 08 17 23 55 00 NaN NaN NaN
2006 08 18 23 55 00 NaN NaN NaN
2006 08 19 23 55 00 NaN NaN NaN
2006 08 20 23 55 00 NaN NaN NaN
