################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.GIPSYX} GNSS GIPSYX PdF OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. BOMG
# FILENAME: BASELINES_BOMG_all.txt
#
#
# CREATED: 19-Jan-2022 08:52:40 by sysop@pitondescalumets
# COPYRIGHT: 2022, OVPF-IPGP
################################################################################
#
year month day hour minute second BOMG-BORG_(cm) BOMG-DERG_(cm) BOMG-DSRG_(cm)
2009 10 13 23 55 00 78301.433351 118861.648617 125176.411671
2009 10 14 23 55 00 78301.493804 118862.151512 125177.000245
2009 10 15 23 55 00 78301.760893 118862.325268 125177.289877
2009 10 16 23 55 00 78301.644118 118862.352120 125177.296506
2009 10 17 23 55 00 78301.608412 118862.295175 125177.192959
2009 10 18 23 55 00 78302.009437 118863.436681 125178.383563
2009 10 19 23 55 00 78303.620249 118866.582771 125195.569582
2009 10 20 23 55 00 78303.412469 118866.681080 125194.714407
2009 10 21 23 55 00 78303.524430 118866.645035 125194.733030
2009 10 22 04 20 00 78303.871175 118867.004335 125194.939398
2009 10 23 23 55 00 78303.624394 118866.481856 125194.374703
2009 10 24 23 55 00 78303.428085 118866.683395 125194.431789
2009 10 25 23 55 00 78303.139531 118867.592674 125194.658933
2009 10 26 08 40 00 78303.760413 118866.375354 125194.075750
2009 10 27 23 55 00 78303.404645 118866.939658 125194.450495
2009 10 28 23 55 00 78303.210670 118866.975634 125194.439393
2009 10 29 23 55 00 78303.542167 118866.931337 125194.523424
2009 10 30 23 55 00 78303.889741 118867.175099 125195.560141
2009 10 31 23 55 00 78303.973557 118867.279912 125195.551797
2009 11 04 23 55 00 78303.909078 118867.864128 125195.324944
2009 11 06 23 55 00 78305.097273 118870.914600 125210.045158
2009 11 07 23 55 00 78305.117367 118871.085966 125209.748648
2009 11 08 23 55 00 78305.226849 118871.190831 125209.579114
2009 11 09 15 10 00 78305.110624 118870.833261 125209.432969
2009 11 10 23 55 00 78305.555000 118871.027733 125209.742407
2009 11 11 23 55 00 78305.353897 118871.049262 125209.399103
2009 11 12 23 55 00 78305.335456 118871.019213 125209.306376
2009 11 13 23 55 00 78305.455037 118870.836081 125209.196412
2009 11 14 23 55 00 78305.376348 118870.654536 125209.299470
2009 11 15 23 55 00 78305.216912 118870.956392 125209.292074
2009 11 16 23 55 00 78305.506877 118871.040832 125209.408133
2009 11 17 23 55 00 78305.564865 118871.154951 125209.446344
2009 11 18 23 55 00 78305.234280 118871.111462 125209.365832
2009 11 19 23 55 00 78305.178991 118871.153078 125209.174950
2009 11 20 23 55 00 78305.413981 118871.596535 125209.278800
2009 11 21 23 55 00 78305.303554 118871.282728 125209.094598
2009 11 22 23 55 00 78305.293269 118871.226290 125208.985458
2009 11 23 23 55 00 78305.426680 118871.304602 125209.002352
2009 11 24 23 55 00 78305.428258 118871.488572 125209.114278
2009 11 25 23 55 00 78305.463963 118871.446526 125209.276185
2009 11 26 23 55 00 78305.153346 118871.306715 125208.796842
2009 11 27 23 55 00 78305.313444 118871.329601 125208.864505
2009 11 28 23 55 00 78305.279476 118871.437475 125208.872993
2009 11 29 23 55 00 78305.321314 118871.601528 125208.884990
2009 11 30 23 55 00 78305.275016 118871.445028 125208.659554
2009 12 01 23 55 00 78305.324287 118871.449515 125208.713750
2009 12 02 23 55 00 78305.360370 118871.926244 125208.982706
2009 12 03 23 55 00 78305.318093 118871.760623 125208.721288
2009 12 04 23 55 00 78305.335136 118871.738708 125208.397616
2009 12 05 23 55 00 78305.517665 118871.656320 125208.994704
2009 12 06 23 55 00 78305.179023 118871.439024 125208.569287
2009 12 07 23 55 00 78305.168465 118871.404204 125208.579597
2009 12 08 23 55 00 78305.372081 118871.467266 125208.564471
2009 12 09 23 55 00 78304.944643 118871.011891 125208.651041
2009 12 10 23 55 00 78305.465940 118870.671263 125208.631073
2009 12 11 23 55 00 78305.383121 118870.878557 125208.646311
2009 12 12 23 55 00 78305.683593 118870.750462 125208.629380
2009 12 13 23 55 00 78305.322906 118870.608303 125208.280147
2009 12 14 23 55 00 78306.986777 118872.324699 125210.901873
2009 12 15 23 55 00 78312.160777 118880.046106 125216.566435
2009 12 16 23 55 00 78312.283309 118879.893222 125215.999876
2009 12 17 23 55 00 78311.800775 118879.834355 125215.370015
2009 12 18 23 55 00 78311.487841 118879.773318 125214.897538
2009 12 19 23 55 00 78311.605317 118879.937306 125214.826410
2009 12 20 23 55 00 78311.503630 118879.738749 125214.612662
2009 12 21 23 55 00 78311.777045 118879.698842 125214.692346
2009 12 22 23 55 00 78311.768431 118879.908621 125214.475882
2009 12 23 23 55 00 78311.676341 118879.574782 125214.573603
2009 12 24 23 55 00 78311.486920 118879.904592 125214.473107
2009 12 25 23 55 00 78311.395936 118880.132894 125214.638254
2009 12 26 23 55 00 78311.582115 118879.886824 125214.627727
