################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SFR0,SNEG_all.txt
#
#
# CREATED: 21-Mar-2020 08:42:13 by sysop@pitondescalumets
# COPYRIGHT: 2020, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS SNEG-BORG_(cm) SNEG-DERG_(cm) SNEG-DSRG_(cm)
2003 12 08 11 59 00 NaN NaN NaN
2004 01 20 11 59 00 NaN NaN NaN
2004 01 21 11 59 00 NaN NaN NaN
2004 01 22 11 59 00 NaN NaN NaN
2004 01 23 11 59 00 NaN NaN NaN
2004 01 24 11 59 00 NaN NaN NaN
2004 01 25 11 59 00 NaN NaN NaN
2004 01 26 11 59 00 NaN NaN NaN
2004 01 27 11 59 00 NaN NaN NaN
2004 01 28 11 59 00 NaN NaN NaN
2004 01 29 11 59 00 NaN NaN NaN
2004 01 30 11 59 00 NaN NaN NaN
2004 01 31 11 59 00 NaN NaN NaN
2004 02 01 11 59 00 NaN NaN NaN
2004 02 02 11 59 00 NaN NaN NaN
2004 02 03 11 59 00 NaN NaN NaN
2004 02 04 11 59 00 NaN NaN NaN
2004 02 05 11 59 00 NaN NaN NaN
2004 02 06 11 59 00 NaN NaN NaN
2004 02 07 11 59 00 NaN NaN NaN
2004 02 08 11 59 00 NaN NaN NaN
2004 02 09 11 59 00 NaN NaN NaN
2004 02 10 11 59 00 NaN NaN NaN
2004 02 11 11 59 00 NaN NaN NaN
2004 02 12 11 59 00 NaN NaN NaN
2004 02 13 11 59 00 NaN NaN NaN
2004 02 20 11 59 00 NaN NaN NaN
2004 02 21 11 59 00 NaN NaN NaN
2004 02 22 11 59 00 NaN NaN NaN
2004 02 23 11 59 00 NaN NaN NaN
2004 02 24 11 59 00 NaN NaN NaN
2004 02 25 11 59 00 NaN NaN NaN
2004 02 26 11 59 00 NaN NaN NaN
2004 02 27 11 59 00 NaN NaN NaN
2004 02 28 11 59 00 NaN NaN NaN
2004 02 29 11 59 00 NaN NaN NaN
2004 03 01 11 59 00 NaN NaN NaN
2004 03 02 11 59 00 NaN NaN NaN
2004 03 03 11 59 00 NaN NaN NaN
2004 03 04 11 59 00 NaN NaN NaN
2004 03 05 11 59 00 NaN NaN NaN
2004 03 06 11 59 00 NaN NaN NaN
2004 03 07 11 59 00 NaN NaN NaN
2004 03 08 11 59 00 NaN NaN NaN
2004 03 09 11 59 00 NaN NaN NaN
2004 03 10 11 59 00 NaN NaN NaN
2004 03 11 11 59 00 NaN NaN NaN
2004 03 12 11 59 00 NaN NaN NaN
2004 03 13 11 59 00 NaN NaN NaN
2004 03 19 11 59 00 NaN NaN NaN
2004 03 20 11 59 00 NaN NaN NaN
2004 03 21 11 59 00 NaN NaN NaN
2004 03 22 11 59 00 NaN NaN NaN
2004 03 23 11 59 00 NaN NaN 128012.178368
2004 03 24 11 59 00 NaN NaN 128012.088919
2004 03 25 11 59 00 NaN NaN 128012.037284
2004 03 26 11 59 00 NaN NaN 128012.225299
2004 03 27 11 59 00 NaN NaN 128012.340946
2004 03 28 11 59 00 NaN NaN 128012.527653
2004 03 29 11 59 00 NaN NaN 128012.669099
2004 03 30 11 59 00 NaN NaN 128012.780103
2004 03 31 11 59 00 NaN NaN 128013.258745
2004 04 01 11 59 00 NaN NaN 128013.290880
2004 04 02 11 59 00 NaN NaN 128012.967626
2004 04 03 11 59 00 NaN NaN 128013.008968
2004 04 04 11 59 00 NaN NaN 128013.005491
2004 04 05 11 59 00 NaN NaN 128013.381745
2004 04 06 11 59 00 NaN NaN 128012.799769
2004 04 07 11 59 00 NaN NaN 128013.659618
2004 04 08 11 59 00 NaN NaN 128013.586311
2004 04 09 11 59 00 NaN NaN 128013.732117
2004 04 10 11 59 00 NaN NaN 128013.757541
2004 04 12 11 59 00 NaN NaN 128013.525940
2004 04 13 11 59 00 NaN NaN 128014.204215
2004 04 19 11 59 00 NaN NaN 128014.129171
2004 04 20 11 59 00 158567.246101 NaN 128015.409164
2004 04 21 11 59 00 158568.389363 NaN 128016.799676
2004 04 30 11 59 00 158568.671603 NaN 128017.193881
2004 05 01 11 59 00 158568.576492 NaN 128017.422047
2004 05 02 11 59 00 158572.295979 NaN 128012.905657
2004 05 03 11 59 00 158572.916495 NaN 128006.696280
2004 05 04 11 59 00 158571.684615 NaN 128006.818190
2004 05 10 11 59 00 158573.679605 NaN 128006.392923
2004 05 20 11 59 00 158569.833417 NaN 128003.505321
2004 05 21 11 59 00 158569.335562 NaN 128003.314384
2004 05 22 11 59 00 158569.322659 NaN 128003.475941
2004 05 23 11 59 00 158569.511564 NaN 128003.873642
2004 05 24 11 59 00 158570.258727 NaN 128004.147531
2004 05 25 11 59 00 158569.384970 NaN 128003.790413
2004 05 26 11 59 00 158570.799380 NaN 128004.385008
2004 05 27 11 59 00 158571.056967 NaN 128004.406891
2004 05 28 11 59 00 158570.702465 NaN 128004.712921
2004 05 29 11 59 00 158571.037022 NaN 128004.576690
2004 05 30 11 59 00 158571.071205 NaN 128004.407797
2004 05 31 11 59 00 158571.138866 NaN 128004.391937
2004 06 01 11 59 00 158570.693662 NaN 128004.408294
2004 06 02 11 59 00 158570.680658 NaN 128004.463196
2004 06 03 11 59 00 158570.654324 NaN 128004.180023
2004 06 04 11 59 00 158570.946834 NaN 128004.299561
2004 06 05 11 59 00 158570.839740 NaN 128004.112751
2004 06 06 11 59 00 158570.447208 NaN 128003.982697
2004 06 07 11 59 00 158570.400511 NaN 128003.866036
2004 06 08 11 59 00 158570.736352 NaN 128003.872888
2004 06 09 11 59 00 158569.899966 NaN 128003.496060
2004 06 10 11 59 00 158570.530735 NaN 128003.441255
2004 06 11 11 59 00 158570.829636 NaN 128003.830874
2004 06 12 11 59 00 158570.774710 NaN 128003.686380
2004 06 13 11 59 00 158570.853477 NaN 128003.771433
2004 06 19 11 59 00 158569.390493 NaN 128003.521410
2004 06 20 11 59 00 158569.578719 NaN 128003.680506
2004 06 21 11 59 00 158570.326049 NaN 128003.859035
2004 06 22 11 59 00 158570.259932 NaN 128003.899378
2004 06 23 11 59 00 158570.204180 NaN 128004.074419
2004 06 24 11 59 00 158570.064584 NaN 128003.954992
2004 06 25 11 59 00 158570.084165 NaN 128003.806940
2004 06 26 11 59 00 158570.538730 NaN 128003.767265
2004 06 27 11 59 00 158570.387027 NaN 128004.155601
2004 06 28 11 59 00 158570.703565 NaN 128004.107985
2004 06 29 11 59 00 158571.093336 NaN 128004.083923
2004 06 30 11 59 00 158571.600674 NaN 128004.289114
2004 07 01 11 59 00 158571.332693 NaN 128004.456200
2004 07 02 11 59 00 158571.509612 NaN 128004.593166
2004 07 03 11 59 00 158571.624940 NaN 128004.565333
2004 07 04 11 59 00 158570.375204 NaN 128004.235677
2004 07 05 11 59 00 158572.022957 NaN 128004.952622
2004 07 06 11 59 00 158572.040450 NaN 128005.104790
2004 07 07 11 59 00 158571.675442 NaN 128004.940862
2004 07 08 11 59 00 158572.383092 NaN 128005.307217
2004 07 09 11 59 00 158571.509316 NaN 128004.869390
2004 07 10 11 59 00 158572.322466 NaN 128005.371471
2004 07 11 11 59 00 158572.272656 NaN 128005.395205
2004 07 12 11 59 00 158572.757458 NaN 128005.592381
2004 07 13 11 59 00 158572.503138 NaN 128005.233420
