################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SNEG_all.txt
#
#
# CREATED: 27-Feb-2019 08:18:50 by sysop@pitondescalumets
# COPYRIGHT: 2019, IPGP
################################################################################
#
year month day hour minute second SNEG-BORG_(cm) SNEG-DERG_(cm) SNEG-DSRG_(cm)
2018 01 02 11 59 00 158719.899183 35986.276285 128090.689773
2018 01 03 11 59 00 158720.011511 35986.429317 128090.976272
2018 01 04 11 59 00 158720.094956 35986.462668 128091.050441
2018 01 05 11 59 00 158720.056798 35986.421466 128091.076760
2018 01 06 11 59 00 158720.396185 35986.590721 128091.381098
2018 01 07 11 59 00 158720.628446 35986.483455 128091.473631
2018 01 09 11 59 00 158720.551244 35986.442256 128091.168758
2018 01 10 11 59 00 158720.771190 35986.525474 128091.529076
2018 01 11 11 59 00 158720.739759 35986.711331 128091.597084
2018 01 12 11 59 00 158720.796504 35986.666322 128091.572732
2018 01 13 11 59 00 158720.946785 35986.801915 128091.843159
2018 01 14 11 59 00 158720.760707 35986.707100 128091.596079
2018 01 15 11 59 00 158721.056822 35986.804951 128091.994381
2018 01 16 11 59 00 158721.051443 35986.749031 128091.863534
2018 01 17 11 59 00 158720.959294 35986.740174 128091.831656
2018 01 19 11 59 00 158721.110386 35986.675368 128091.946485
2018 01 20 11 59 00 158721.261657 35986.727521 128091.868675
2018 01 21 11 59 00 158721.081602 35986.730856 128091.851768
2018 01 22 11 59 00 158721.238643 35986.655974 128091.916568
2018 01 23 11 59 00 158721.394157 35986.610024 128091.916503
2018 01 24 11 59 00 158721.155579 35986.686021 128091.929109
2018 01 25 11 59 00 158720.985840 35986.722201 128091.847813
2018 01 26 11 59 00 158721.351756 35986.767727 128091.939460
2018 01 27 11 59 00 158721.220578 35986.664460 128091.969900
2018 01 28 11 59 00 158721.242007 35986.622569 128092.023652
2018 01 29 11 59 00 158721.222305 35986.625915 128091.726525
2018 01 30 11 59 00 158721.248683 35986.551080 128091.877544
2018 01 31 11 59 00 158721.076520 35986.617244 128091.713880
2018 02 01 11 59 00 158721.158369 35986.668910 128091.856602
2018 02 02 11 59 00 158721.018904 35986.665264 128091.741885
