date,DSRG_SNEG,DSRG_SNEG_interp,BONG_DSRG-BOMG_DSRG,BONG_DSRG-BOMG_DSRG_interp,BONG_BORG-BOMG_BORG,BONG_BORG-BOMG_BORG_interp,BORG_SNEG,BORG_SNEG_interp,BONG_DERG-BOMG_DERG,BONG_DERG-BOMG_DERG_interp,DERG_SNEG,DERG_SNEG_interp,BORG_DSRG,BORG_DSRG_interp,BORG_DERG,BORG_DERG_interp,DERG_DSRG,DERG_DSRG_interp,BONG_SNEG-BOMG_SNEG,BONG_SNEG-BOMG_SNEG_interp
2006-07-23,1280.921,1280.921,1024.2291,1024.2291,841.64545,841.64545,1588.4056,1588.4056,1009.6848,1009.6848,360.15295,360.15295,841.4284,841.4284,1583.5065,1583.5065,1089.9174,1089.9174,862.30856,862.30856
2006-07-24,1280.9223,1280.9223,1024.2308,1024.2308,841.64627,841.64627,1588.405,1588.405,1009.6834,1009.6834,360.15289,360.15289,841.42669,841.42669,1583.5041,1583.5041,1089.9174,1089.9174,862.30817,862.30817
2006-07-25,1280.9214,1280.9214,1024.2302,1024.2302,841.64792,841.64792,1588.4057,1588.4057,1009.6838,1009.6838,360.15288,360.15288,841.42654,841.42654,1583.5058,1583.5058,1089.9175,1089.9175,862.3072,862.3072
2006-07-26,1280.9215,1280.9215,1024.2308,1024.2308,841.65044,841.65044,1588.407,1588.407,1009.6836,1009.6836,360.15223,360.15223,841.42645,841.42645,1583.5077,1583.5077,1089.9186,1089.9186,862.30622,862.30622
2006-07-27,1280.9235,1280.9235,1024.231,1024.231,841.6516,841.6516,1588.4089,1588.4089,1009.6835,1009.6835,360.15331,360.15331,841.42514,841.42514,1583.5081,1583.5081,1089.9195,1089.9195,862.30714,862.30714
2006-07-28,1280.9252,1280.9252,1024.2302,1024.2302,841.65114,841.65114,1588.409,1588.409,1009.6844,1009.6844,360.15477,360.15477,841.42173,841.42173,1583.5072,1583.5072,1089.9204,1089.9204,862.30808,862.30808
2006-07-29,1280.9254,1280.9254,1024.2309,1024.2309,841.65257,841.65257,1588.4091,1588.4091,1009.6855,1009.6855,360.1555,360.1555,841.42107,841.42107,1583.5087,1583.5087,1089.9217,1089.9217,862.30727,862.30727
2006-07-30,1280.9253,1280.9253,1024.2313,1024.2313,841.65195,841.65195,1588.4092,1588.4092,NaN,1009.6855,NaN,360.1555,841.42141,841.42141,NaN,1583.5087,NaN,1089.9217,862.30842,862.30842
2006-07-31,1280.9264,1280.9264,1024.231,1024.231,841.65123,841.65123,1588.4079,1588.4079,NaN,1009.6855,NaN,360.1555,841.41883,841.41883,NaN,1583.5087,NaN,1089.9217,862.30784,862.30784
2006-08-01,1280.9269,1280.9269,1024.2314,1024.2314,841.65256,841.65256,1588.4105,1588.4105,NaN,1009.6855,NaN,360.1555,841.42272,841.42272,NaN,1583.5087,NaN,1089.9217,862.30777,862.30777
2006-08-02,1280.9285,1280.9285,1024.2315,1024.2315,841.65171,841.65171,1588.4119,1588.4119,NaN,1009.6855,NaN,360.1555,841.42279,841.42279,NaN,1583.5087,NaN,1089.9217,862.31004,862.31004
2006-08-03,1280.9301,1280.9301,1024.2336,1024.2336,841.65203,841.65203,1588.4134,1588.4134,NaN,1009.6855,NaN,360.1555,841.42349,841.42349,NaN,1583.5087,NaN,1089.9217,862.31222,862.31222
2006-08-04,1280.9287,1280.9287,1024.2343,1024.2343,841.65202,841.65202,1588.4137,1588.4137,NaN,1009.6855,NaN,360.1555,841.42526,841.42526,NaN,1583.5087,NaN,1089.9217,862.31307,862.31307
2006-08-05,1280.9301,1280.9301,1024.2352,1024.2352,841.65207,841.65207,1588.4144,1588.4144,NaN,1009.6855,NaN,360.1555,841.42517,841.42517,NaN,1583.5087,NaN,1089.9217,862.31398,862.31398
2006-08-06,1280.9325,1280.9325,1024.2338,1024.2338,841.65098,841.65098,1588.4148,1588.4148,NaN,1009.6855,NaN,360.1555,841.42341,841.42341,NaN,1583.5087,NaN,1089.9217,862.31432,862.31432
2006-08-07,1280.9311,1280.9311,1024.2347,1024.2347,841.65154,841.65154,1588.4152,1588.4152,NaN,1009.6855,NaN,360.1555,841.42478,841.42478,NaN,1583.5087,NaN,1089.9217,862.31507,862.31507
2006-08-08,1280.9327,1280.9327,1024.237,1024.237,841.65309,841.65309,1588.4174,1588.4174,NaN,1009.6855,NaN,360.1555,841.42654,841.42654,NaN,1583.5087,NaN,1089.9217,862.31617,862.31617
2006-08-09,1280.9333,1280.9333,1024.2374,1024.2374,841.65298,841.65298,1588.4174,1588.4174,NaN,1009.6855,NaN,360.1555,841.42667,841.42667,NaN,1583.5087,NaN,1089.9217,862.31625,862.31625
2006-08-10,1280.9343,1280.9343,1024.2383,1024.2383,841.65374,841.65374,1588.4189,1588.4189,NaN,1009.6855,NaN,360.1555,841.42736,841.42736,NaN,1583.5087,NaN,1089.9217,862.31716,862.31716
2006-08-11,1280.9365,1280.9365,1024.2398,1024.2398,841.65397,841.65397,1588.4195,1588.4195,NaN,1009.6855,NaN,360.1555,841.42735,841.42735,NaN,1583.5087,NaN,1089.9217,862.31773,862.31773
2006-08-12,1280.9381,1280.9381,1024.2399,1024.2399,841.65403,841.65403,1588.4208,1588.4208,NaN,1009.6855,NaN,360.1555,841.42703,841.42703,NaN,1583.5087,NaN,1089.9217,862.31871,862.31871
2006-08-13,1280.9396,1280.9396,1024.2412,1024.2412,841.65369,841.65369,1588.4217,1588.4217,NaN,1009.6855,NaN,360.1555,841.42815,841.42815,NaN,1583.5087,NaN,1089.9217,862.32,862.32
2006-08-14,NaN,1280.9396,NaN,1024.2412,NaN,841.65369,NaN,1588.4217,NaN,1009.6855,NaN,360.1555,NaN,841.42815,NaN,1583.5087,NaN,1089.9217,NaN,862.32
2006-08-15,NaN,1280.9396,NaN,1024.2412,NaN,841.65369,NaN,1588.4217,NaN,1009.6855,NaN,360.1555,NaN,841.42815,NaN,1583.5087,NaN,1089.9217,NaN,862.32
2006-08-16,NaN,1280.9396,NaN,1024.2412,NaN,841.65369,NaN,1588.4217,NaN,1009.6855,NaN,360.1555,NaN,841.42815,NaN,1583.5087,NaN,1089.9217,NaN,862.32
2006-08-17,NaN,1280.9396,NaN,1024.2412,NaN,841.65369,NaN,1588.4217,NaN,1009.6855,NaN,360.1555,NaN,841.42815,NaN,1583.5087,NaN,1089.9217,NaN,862.32
2006-08-18,NaN,1280.9396,NaN,1024.2412,NaN,841.65369,NaN,1588.4217,NaN,1009.6855,NaN,360.1555,NaN,841.42815,NaN,1583.5087,NaN,1089.9217,NaN,862.32
2006-08-19,NaN,1280.9396,NaN,1024.2412,NaN,841.65369,NaN,1588.4217,NaN,1009.6855,NaN,360.1555,NaN,841.42815,NaN,1583.5087,NaN,1089.9217,NaN,862.32
2006-08-20,NaN,1280.9396,NaN,1024.2412,NaN,841.65369,NaN,1588.4217,NaN,1009.6855,NaN,360.1555,NaN,841.42815,NaN,1583.5087,NaN,1089.9217,NaN,862.32
2006-08-21,1280.9496,1280.9496,1024.2483,1024.2483,841.65595,841.65595,1588.4302,1588.4302,NaN,1009.6855,NaN,360.1555,841.43227,841.43227,NaN,1583.5087,NaN,1089.9217,862.32684,862.32684
2006-08-22,1280.9513,1280.9513,1024.2501,1024.2501,841.65524,841.65524,1588.4309,1588.4309,NaN,1009.6855,NaN,360.1555,841.43266,841.43266,NaN,1583.5087,NaN,1089.9217,862.32884,862.32884
2006-08-23,1280.9525,1280.9525,1024.2507,1024.2507,841.65676,841.65676,1588.4317,1588.4317,NaN,1009.6855,NaN,360.1555,841.43226,841.43226,NaN,1583.5087,NaN,1089.9217,862.32831,862.32831
2006-08-24,1280.9527,1280.9527,1024.2523,1024.2523,841.65569,841.65569,1588.4321,1588.4321,NaN,1009.6855,NaN,360.1555,841.4345,841.4345,NaN,1583.5087,NaN,1089.9217,862.33036,862.33036
2006-08-25,1280.9544,1280.9544,1024.2533,1024.2533,841.65662,841.65662,1588.4344,1588.4344,NaN,1009.6855,NaN,360.1555,841.43501,841.43501,NaN,1583.5087,NaN,1089.9217,862.33193,862.33193
2006-08-26,1280.9553,1280.9553,1024.256,1024.256,841.65694,841.65694,1588.4362,1588.4362,NaN,1009.6855,NaN,360.1555,841.43793,841.43793,NaN,1583.5087,NaN,1089.9217,862.33419,862.33419
2006-08-27,1280.9555,1280.9555,1024.2551,1024.2551,841.65499,841.65499,1588.4344,1588.4344,NaN,1009.6855,NaN,360.1555,841.43705,841.43705,NaN,1583.5087,NaN,1089.9217,862.33353,862.33353
2006-08-28,1280.96,1280.96,1024.2562,1024.2562,841.65615,841.65615,1588.4357,1588.4357,NaN,1009.6855,NaN,360.1555,841.43543,841.43543,NaN,1583.5087,NaN,1089.9217,862.33298,862.33298
2006-08-29,1280.9598,1280.9598,1024.2572,1024.2572,841.65655,841.65655,1588.4371,1588.4371,NaN,1009.6855,NaN,360.1555,841.43719,841.43719,NaN,1583.5087,NaN,1089.9217,862.3346,862.3346
2006-08-30,1281.0329,1281.0329,1024.2982,1024.2982,841.65708,841.65708,1588.4457,1588.4457,NaN,1009.6855,NaN,360.1555,841.42781,841.42781,NaN,1583.5087,NaN,1089.9217,862.33723,862.33723
2006-08-31,1281.0403,1281.0403,1024.2959,1024.2959,841.65324,841.65324,1588.4364,1588.4364,NaN,1009.6855,NaN,360.1555,841.41473,841.41473,NaN,1583.5087,NaN,1089.9217,862.32883,862.32883
2006-09-01,1281.0368,1281.0368,1024.2922,1024.2922,841.64609,841.64609,1588.4283,1588.4283,1009.6976,1009.6976,360.1298,360.1298,841.41324,841.41324,1583.5422,1583.5422,1090.0582,1090.0582,862.32566,862.32566
2006-09-02,1281.0369,1281.0369,1024.2951,1024.2951,841.6454,841.6454,1588.4287,1588.4287,1009.7024,1009.7024,360.13359,360.13359,841.41721,841.41721,1583.5444,1583.5444,1090.0572,1090.0572,862.32711,862.32711
2006-09-03,1281.0394,1281.0394,1024.2937,1024.2937,841.64449,841.64449,1588.4286,1588.4286,1009.7015,1009.7015,360.1346,360.1346,841.41459,841.41459,1583.5439,1583.5439,1090.0594,1090.0594,862.32682,862.32682
2006-09-04,1281.0374,1281.0374,1024.295,1024.295,841.64422,841.64422,1588.4286,1588.4286,1009.7014,1009.7014,360.13352,360.13352,841.41697,841.41697,1583.5426,1583.5426,1090.0565,1090.0565,862.32828,862.32828
2006-09-05,1281.0358,1281.0358,1024.29,1024.29,841.64026,841.64026,1588.4288,1588.4288,NaN,1009.7014,NaN,360.13352,841.41541,841.41541,NaN,1583.5426,NaN,1090.0565,862.33108,862.33108
