#WEBOBS-OVPF: Main Courante Sismicité OVPF
#YYYYmmdd HHMMSS.ss;Nb(#);Duration;Amplitude;Magnitude;E(J);Longitude;Latitude;Depth;Type;File;LocMode;LocType;Projection;Operator;Timestamp;ID
19880925 2102.00;1;40;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19880925T2102.00;1988-09#40
19880925 2137.00;1;40;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19880925T2137.00;1988-09#41
19900127 0709.00;1;30;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19900127T0709.00;1990-01#287
19900404 0447.00;1;11;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19900404T0447.00;1990-04#26
19900405 1636.00;1;10;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19900405T1636.00;1990-04#45
19900408 1651.00;1;30;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19900408T1651.00;1990-04#102
19900410 0056.00;1;20;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19900410T0056.00;1990-04#129
19920529 0650.00;1;25;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19920529T0650.00;1992-05#99
19920909 1036.00;1;30;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19920909T1036.00;1992-09#4
19920918 1315.00;1;5;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19920918T1315.00;1992-09#14
19930710 0736.00;1;40;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19930710T0736.00;1993-07#8
19930803 0815.00;1;55;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19930803T0815.00;1993-08#5
19930811 0311.00;1;35;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19930811T0311.00;1993-08#24
19930816 0835.00;1;8;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19930816T0835.00;1993-08#40
19930817 1551.00;1;12;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19930817T1551.00;1993-08#46
19930829 1009.00;1;22;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19930829T1009.00;1993-08#90
19930911 0118.00;1;6;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19930911T0118.00;1993-09#42
19931008 0047.00;1;14;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19931008T0047.00;1993-10#43
19931021 1841.00;1;15;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19931021T1841.00;1993-10#88
19940325 1545.00;1;43;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19940325T1545.00;1994-03#64
19940629 0525.00;1;15;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19940629T0525.00;1994-06#104
19941125 1510.00;1;35;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19941125T1510.00;1994-11#73
19950402 1733.00;1;15;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19950402T1733.00;1995-04#9
19950403 1818.00;1;15;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19950403T1818.00;1995-04#10
19950407 0742.00;1;30;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19950407T0742.00;1995-04#13
19950420 0137.00;1;30;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19950420T0137.00;1995-04#42
19950421 1527.00;1;30;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19950421T1527.00;1995-04#52
19950422 0038.00;1;14;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19950422T0038.00;1995-04#54
19950510 0011.00;1;25;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19950510T0011.00;1995-05#29
19950511 1823.00;1;40;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19950511T1823.00;1995-05#32
19950529 1335.00;1;40;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19950529T1335.00;1995-05#99
19950808 1338.00;1;27;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19950808T1338.00;1995-08#29
19950811 0635.00;1;15;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19950811T0635.00;1995-08#54
19950908 1648.00;1;16;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19950908T1648.00;1995-09#16
19950914 0848.00;1;14;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19950914T0848.00;1995-09#39
19950915 1918.00;1;;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19950915T1918.00;1995-09#43
19950928 0429.00;1;20;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19950928T0429.00;1995-09#83
19951002 0130.00;1;35;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19951002T0130.00;1995-10#2
19951002 1958.00;1;56;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19951002T1958.00;1995-10#6
19951026 2120.00;1;26;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19951026T2120.00;1995-10#54
19951206 0334.00;1;23;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19951206T0334.00;1995-12#24
19960302 1227.00;1;50;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19960302T1227.00;1996-03#13
19960315 0808.00;1;20;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19960315T0808.00;1996-03#80
19960315 0814.00;1;12;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19960315T0814.00;1996-03#81
19960326 2203.00;1;25;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19960326T2203.00;1996-03#124
19960327 0934.00;1;55;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19960327T0934.00;1996-03#126
19960529 1751.00;1;45;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19960529T1751.00;1996-05#91
19960605 1006.00;1;9;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19960605T1006.00;1996-06#16
19960627 1016.00;1;25;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19960627T1016.00;1996-06#85
19960819 1819.00;1;12;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19960819T1819.00;1996-08#67
19960908 1927.00;1;30;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19960908T1927.00;1996-09#23
19970113 1817.00;1;8;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19970113T1817.00;1997-01#18
19970218 2021.00;1;10;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19970218T2021.00;1997-02#30
19971205 1915.00;1;7;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19971205T1915.00;1997-12#24
19980103 1551.00;1;10;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19980103T1551.00;1998-01#5
19980105 2359.00;1;10;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19980105T2359.00;1998-01#13
19980106 0410.00;1;9;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19980106T0410.00;1998-01#15
19980131 0950.00;1;15;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19980131T0950.00;1998-01#177
19980218 0426.00;1;15;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19980218T0426.00;1998-02#113
19980218 0445.00;1;15;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19980218T0445.00;1998-02#114
19980226 0802.00;1;8;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19980226T0802.00;1998-02#163
19980226 0806.00;1;8;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19980226T0806.00;1998-02#164
19980226 0812.00;1;10;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19980226T0812.00;1998-02#165
19980226 0814.00;1;8;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19980226T0814.00;1998-02#166
19980226 0825.00;1;10;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19980226T0825.00;1998-02#167
19980226 1617.00;1;12;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19980226T1617.00;1998-02#170
19980620 0320.00;1;12;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19980620T0320.00;1998-06#6
19980626 1922.00;1;12;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19980626T1922.00;1998-06#8
19981209 0636.00;1;5;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19981209T0636.00;1998-12#39
19990108 0955.00;1;17;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19990108T0955.00;1999-01#41
19990217 1407.00;1;19;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19990217T1407.00;1999-02#58
19990221 0504.00;1;10;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19990221T0504.00;1999-02#63
19990525 1039.00;1;7;NA;;;;;;VOLCDEEP;;;;WGS84;VF;19990525T1039.00;1999-05#63
